Entity,Year,Nfd
All natural disasters,1963,41
All natural disasters,1964,60
All natural disasters,1965,61
All natural disasters,1966,80
All natural disasters,1967,70
All natural disasters,1968,77
All natural disasters,1969,62
All natural disasters,1970,77
All natural disasters,1971,61
All natural disasters,1972,63
All natural disasters,1973,60
All natural disasters,1974,68
All natural disasters,1975,63
All natural disasters,1976,91
All natural disasters,1977,121
All natural disasters,1978,115
All natural disasters,1979,120
All natural disasters,1980,133
All natural disasters,1981,138
All natural disasters,1982,153
All natural disasters,1983,205
All natural disasters,1984,146
All natural disasters,1985,165
All natural disasters,1986,150
All natural disasters,1987,191
All natural disasters,1988,200
All natural disasters,1989,172
All natural disasters,1990,278
All natural disasters,1991,228
All natural disasters,1992,204
All natural disasters,1993,260
All natural disasters,1994,246
All natural disasters,1995,248
All natural disasters,1996,227
All natural disasters,1997,261
All natural disasters,1998,288
All natural disasters,1999,337
All natural disasters,2000,411
All natural disasters,2001,376
All natural disasters,2002,421
All natural disasters,2003,360
All natural disasters,2004,350
All natural disasters,2005,432
All natural disasters,2006,401
All natural disasters,2007,414
All natural disasters,2008,352
All natural disasters,2009,344
All natural disasters,2010,393
All natural disasters,2011,334
All natural disasters,2012,346
All natural disasters,2013,332
All natural disasters,2014,320
All natural disasters,2015,380
All natural disasters,2016,325
All natural disasters,2017,276
All natural disasters,2018,282
All natural disasters,2019,361
Drought,1963,1
Drought,1964,7
Drought,1965,7
Drought,1966,9
Drought,1967,5
Drought,1968,7
Drought,1969,10
Drought,1970,2
Drought,1971,7
Drought,1972,7
Drought,1973,2
Drought,1974,4
Drought,1975,1
Drought,1976,6
Drought,1977,16
Drought,1978,9
Drought,1979,11
Drought,1980,14
Drought,1981,13
Drought,1982,13
Drought,1983,32
Drought,1984,8
Drought,1985,3
Drought,1986,4
Drought,1987,15
Drought,1988,17
Drought,1989,7
Drought,1990,12
Drought,1991,18
Drought,1992,12
Drought,1993,9
Drought,1994,13
Drought,1995,6
Drought,1996,6
Drought,1997,18
Drought,1998,20
Drought,1999,23
Drought,2000,27
Drought,2001,22
Drought,2002,25
Drought,2003,14
Drought,2004,11
Drought,2005,20
Drought,2006,9
Drought,2007,11
Drought,2008,16
Drought,2009,18
Drought,2010,17
Drought,2011,17
Drought,2012,21
Drought,2013,9
Drought,2014,18
Drought,2015,28
Drought,2016,15
Drought,2017,7
Drought,2018,13
Drought,2019,15
Earthquake,1963,3
Earthquake,1964,7
Earthquake,1965,7
Earthquake,1966,11
Earthquake,1967,10
Earthquake,1968,14
Earthquake,1969,8
Earthquake,1970,11
Earthquake,1971,5
Earthquake,1972,5
Earthquake,1973,4
Earthquake,1974,4
Earthquake,1975,4
Earthquake,1976,20
Earthquake,1977,14
Earthquake,1978,9
Earthquake,1979,25
Earthquake,1980,24
Earthquake,1981,17
Earthquake,1982,18
Earthquake,1983,25
Earthquake,1984,13
Earthquake,1985,22
Earthquake,1986,21
Earthquake,1987,19
Earthquake,1988,18
Earthquake,1989,19
Earthquake,1990,43
Earthquake,1991,29
Earthquake,1992,25
Earthquake,1993,20
Earthquake,1994,25
Earthquake,1995,26
Earthquake,1996,13
Earthquake,1997,23
Earthquake,1998,30
Earthquake,1999,33
Earthquake,2000,30
Earthquake,2001,25
Earthquake,2002,37
Earthquake,2003,40
Earthquake,2004,42
Earthquake,2005,25
Earthquake,2006,24
Earthquake,2007,21
Earthquake,2008,23
Earthquake,2009,22
Earthquake,2010,24
Earthquake,2011,30
Earthquake,2012,27
Earthquake,2013,29
Earthquake,2014,26
Earthquake,2015,23
Earthquake,2016,30
Earthquake,2017,19
Earthquake,2018,20
Earthquake,2019,32
Extreme temperature,1963,2
Extreme temperature,1964,0
Extreme temperature,1965,1
Extreme temperature,1966,2
Extreme temperature,1967,0
Extreme temperature,1968,2
Extreme temperature,1969,0
Extreme temperature,1970,0
Extreme temperature,1971,1
Extreme temperature,1972,2
Extreme temperature,1973,3
Extreme temperature,1974,0
Extreme temperature,1975,3
Extreme temperature,1976,0
Extreme temperature,1977,1
Extreme temperature,1978,1
Extreme temperature,1979,4
Extreme temperature,1980,3
Extreme temperature,1981,2
Extreme temperature,1982,3
Extreme temperature,1983,2
Extreme temperature,1984,1
Extreme temperature,1985,8
Extreme temperature,1986,2
Extreme temperature,1987,6
Extreme temperature,1988,6
Extreme temperature,1989,5
Extreme temperature,1990,13
Extreme temperature,1991,8
Extreme temperature,1992,7
Extreme temperature,1993,4
Extreme temperature,1994,9
Extreme temperature,1995,13
Extreme temperature,1996,5
Extreme temperature,1997,13
Extreme temperature,1998,12
Extreme temperature,1999,8
Extreme temperature,2000,31
Extreme temperature,2001,23
Extreme temperature,2002,15
Extreme temperature,2003,25
Extreme temperature,2004,16
Extreme temperature,2005,30
Extreme temperature,2006,24
Extreme temperature,2007,25
Extreme temperature,2008,10
Extreme temperature,2009,25
Extreme temperature,2010,29
Extreme temperature,2011,16
Extreme temperature,2012,51
Extreme temperature,2013,14
Extreme temperature,2014,17
Extreme temperature,2015,12
Extreme temperature,2016,12
Extreme temperature,2017,11
Extreme temperature,2018,25
Extreme temperature,2019,20
Extreme weather,1963,21
Extreme weather,1964,22
Extreme weather,1965,19
Extreme weather,1966,28
Extreme weather,1967,25
Extreme weather,1968,25
Extreme weather,1969,25
Extreme weather,1970,24
Extreme weather,1971,22
Extreme weather,1972,26
Extreme weather,1973,22
Extreme weather,1974,28
Extreme weather,1975,28
Extreme weather,1976,36
Extreme weather,1977,32
Extreme weather,1978,42
Extreme weather,1979,31
Extreme weather,1980,42
Extreme weather,1981,50
Extreme weather,1982,52
Extreme weather,1983,59
Extreme weather,1984,57
Extreme weather,1985,51
Extreme weather,1986,56
Extreme weather,1987,58
Extreme weather,1988,60
Extreme weather,1989,73
Extreme weather,1990,137
Extreme weather,1991,66
Extreme weather,1992,76
Extreme weather,1993,108
Extreme weather,1994,81
Extreme weather,1995,81
Extreme weather,1996,77
Extreme weather,1997,79
Extreme weather,1998,88
Extreme weather,1999,106
Extreme weather,2000,102
Extreme weather,2001,105
Extreme weather,2002,122
Extreme weather,2003,86
Extreme weather,2004,124
Extreme weather,2005,130
Extreme weather,2006,76
Extreme weather,2007,105
Extreme weather,2008,111
Extreme weather,2009,87
Extreme weather,2010,94
Extreme weather,2011,84
Extreme weather,2012,90
Extreme weather,2013,105
Extreme weather,2014,99
Extreme weather,2015,118
Extreme weather,2016,84
Extreme weather,2017,85
Extreme weather,2018,84
Extreme weather,2019,85
Flood,1963,8
Flood,1964,22
Flood,1965,19
Flood,1966,23
Flood,1967,26
Flood,1968,20
Flood,1969,14
Flood,1970,31
Flood,1971,15
Flood,1972,15
Flood,1973,20
Flood,1974,19
Flood,1975,17
Flood,1976,17
Flood,1977,48
Flood,1978,47
Flood,1979,34
Flood,1980,39
Flood,1981,43
Flood,1982,48
Flood,1983,49
Flood,1984,47
Flood,1985,58
Flood,1986,50
Flood,1987,68
Flood,1988,76
Flood,1989,46
Flood,1990,60
Flood,1991,77
Flood,1992,59
Flood,1993,84
Flood,1994,88
Flood,1995,94
Flood,1996,92
Flood,1997,95
Flood,1998,94
Flood,1999,122
Flood,2000,157
Flood,2001,157
Flood,2002,172
Flood,2003,158
Flood,2004,128
Flood,2005,193
Flood,2006,226
Flood,2007,218
Flood,2008,165
Flood,2009,151
Flood,2010,184
Flood,2011,156
Flood,2012,136
Flood,2013,149
Flood,2014,135
Flood,2015,160
Flood,2016,161
Flood,2017,114
Flood,2018,109
Flood,2019,170
Landslide,1963,2
Landslide,1964,1
Landslide,1965,5
Landslide,1966,4
Landslide,1967,2
Landslide,1968,4
Landslide,1969,1
Landslide,1970,5
Landslide,1971,5
Landslide,1972,5
Landslide,1973,5
Landslide,1974,10
Landslide,1975,5
Landslide,1976,6
Landslide,1977,3
Landslide,1978,2
Landslide,1979,7
Landslide,1980,4
Landslide,1981,8
Landslide,1982,11
Landslide,1983,15
Landslide,1984,6
Landslide,1985,6
Landslide,1986,9
Landslide,1987,13
Landslide,1988,15
Landslide,1989,15
Landslide,1990,4
Landslide,1991,9
Landslide,1992,7
Landslide,1993,22
Landslide,1994,11
Landslide,1995,16
Landslide,1996,24
Landslide,1997,13
Landslide,1998,22
Landslide,1999,18
Landslide,2000,28
Landslide,2001,24
Landslide,2002,20
Landslide,2003,21
Landslide,2004,15
Landslide,2005,13
Landslide,2006,20
Landslide,2007,10
Landslide,2008,12
Landslide,2009,29
Landslide,2010,32
Landslide,2011,17
Landslide,2012,13
Landslide,2013,11
Landslide,2014,15
Landslide,2015,20
Landslide,2016,13
Landslide,2017,25
Landslide,2018,13
Landslide,2019,22
Volcanic activity,1963,3
Volcanic activity,1964,1
Volcanic activity,1965,1
Volcanic activity,1966,2
Volcanic activity,1967,0
Volcanic activity,1968,2
Volcanic activity,1969,2
Volcanic activity,1970,0
Volcanic activity,1971,3
Volcanic activity,1972,0
Volcanic activity,1973,1
Volcanic activity,1974,0
Volcanic activity,1975,3
Volcanic activity,1976,5
Volcanic activity,1977,5
Volcanic activity,1978,2
Volcanic activity,1979,4
Volcanic activity,1980,2
Volcanic activity,1981,1
Volcanic activity,1982,3
Volcanic activity,1983,7
Volcanic activity,1984,7
Volcanic activity,1985,2
Volcanic activity,1986,2
Volcanic activity,1987,2
Volcanic activity,1988,5
Volcanic activity,1989,1
Volcanic activity,1990,2
Volcanic activity,1991,10
Volcanic activity,1992,5
Volcanic activity,1993,6
Volcanic activity,1994,6
Volcanic activity,1995,5
Volcanic activity,1996,5
Volcanic activity,1997,4
Volcanic activity,1998,4
Volcanic activity,1999,5
Volcanic activity,2000,5
Volcanic activity,2001,6
Volcanic activity,2002,7
Volcanic activity,2003,2
Volcanic activity,2004,5
Volcanic activity,2005,8
Volcanic activity,2006,12
Volcanic activity,2007,6
Volcanic activity,2008,7
Volcanic activity,2009,2
Volcanic activity,2010,6
Volcanic activity,2011,6
Volcanic activity,2012,1
Volcanic activity,2013,3
Volcanic activity,2014,6
Volcanic activity,2015,6
Volcanic activity,2017,2
Volcanic activity,2018,7
Volcanic activity,2019,4
Wildfire,1963,0
Wildfire,1964,0
Wildfire,1965,1
Wildfire,1966,1
Wildfire,1967,2
Wildfire,1968,3
Wildfire,1969,2
Wildfire,1970,3
Wildfire,1971,2
Wildfire,1972,3
Wildfire,1973,3
Wildfire,1974,3
Wildfire,1975,2
Wildfire,1976,1
Wildfire,1977,2
Wildfire,1978,3
Wildfire,1979,4
Wildfire,1980,4
Wildfire,1981,4
Wildfire,1982,3
Wildfire,1983,12
Wildfire,1984,7
Wildfire,1985,13
Wildfire,1986,6
Wildfire,1987,8
Wildfire,1989,3
Wildfire,1990,4
Wildfire,1991,8
Wildfire,1992,8
Wildfire,1993,2
Wildfire,1994,13
Wildfire,1995,7
Wildfire,1996,5
Wildfire,1997,16
Wildfire,1998,18
Wildfire,1999,22
Wildfire,2000,30
Wildfire,2001,14
Wildfire,2002,22
Wildfire,2003,14
Wildfire,2004,8
Wildfire,2005,13
Wildfire,2006,9
Wildfire,2007,18
Wildfire,2008,5
Wildfire,2009,9
Wildfire,2010,7
Wildfire,2011,8
Wildfire,2012,6
Wildfire,2013,10
Wildfire,2014,4
Wildfire,2015,12
Wildfire,2016,10
Wildfire,2017,13
Wildfire,2018,10
Wildfire,2019,13
